Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/13/2019,373.75,374.5,366.25,366.25,-0.75,-0.20%,344355,1488383
12/12/2019,358.25,368.75,358.25,367,9.25,+2.59%,259435,1484241
12/11/2019,363,363,357,357.75,-5.5,-1.51%,211388,1491184
12/10/2019,365.75,367,362.5,363.25,-2.5,-0.68%,154101,1478582
12/09/2019,366.5,368,365,365.75,-0.75,-0.20%,141384,1472773
12/06/2019,364.75,368.75,364.75,366.5,1,+0.27%,157200,1466728
12/05/2019,368.5,369.75,365,365.5,-3.25,-0.88%,168141,1456701
12/04/2019,371.75,373.5,367.75,368.75,-3.25,-0.87%,199814,1451615
12/03/2019,373.75,376.25,371.5,372,-1.5,-0.40%,223046,1449806
12/02/2019,371.75,375.5,370,373.5,2.25,+0.61%,247858,1453067
11/29/2019,365.75,372.25,365,371.25,8.5,+2.34%,225781,1457205
11/27/2019,367.25,368.75,362.25,362.75,-4.75,-1.29%,501751,1451381
11/26/2019,369.75,370.5,367,367.5,-3,-0.81%,532269,1505976
11/25/2019,368.75,372.75,368.25,370.5,1.75,+0.47%,518835,1540017
11/22/2019,368,370.25,367.5,368.75,0.25,+0.07%,478708,1567108
11/21/2019,366.75,369.75,366.25,368.5,1.75,+0.48%,366833,1643677
11/20/2019,369.75,370.5,365.75,366.75,-3.25,-0.88%,617230,1652887
11/19/2019,367.75,373,367.75,370,2.25,+0.61%,436375,1641549
11/18/2019,371,371.75,367.5,367.75,-3.5,-0.94%,425678,1612010
11/15/2019,375.5,376.5,370.75,371.25,-4.5,-1.20%,292613,1622404
11/14/2019,375.25,377.5,374.5,375.75,0.5,+0.13%,300933,1612916
11/13/2019,377,377.75,375,375.25,-2.5,-0.66%,424357,1626880
11/12/2019,373.5,378,372.75,377.75,4.5,+1.21%,469234,1610507
11/11/2019,376,377,372.5,373.25,-4,-1.06%,445812,1610205
11/08/2019,375.25,383.75,372.5,377.25,2,+0.53%,661885,1601179
11/07/2019,379.25,380,373.75,375.25,-3.5,-0.92%,437358,1591068
11/06/2019,382.25,385,377.5,378.75,-3,-0.79%,351561,1611927
11/05/2019,383.25,384.75,380.5,381.75,-1.5,-0.39%,302675,1609336
11/04/2019,386.75,387.75,383,383.25,-6,-1.54%,254854,1607245
11/01/2019,389.25,391.75,386.25,389.25,-0.75,-0.19%,257946,1603645
10/31/2019,390.25,391,384.75,390,-0.75,-0.19%,300189,1586082
10/30/2019,385.75,391.25,385.25,390.75,4.5,+1.17%,314290,1592647
10/29/2019,383.5,387.5,382,386.25,2.25,+0.59%,263586,1591878
10/28/2019,386,386.5,383.25,384,-2.75,-0.71%,190741,1598805
10/25/2019,387,390,385.75,386.75,0,0.00%,218722,1594009
10/24/2019,388.5,390.75,385.25,386.75,-1,-0.26%,224273,1605947
10/23/2019,387.75,389.5,384,387.75,-0.25,-0.06%,194447,1606977
10/22/2019,387,392.5,385,388,0.75,+0.19%,225528,1608763
10/21/2019,390,393.75,386.5,387.25,-3.75,-0.96%,241770,1599739
10/18/2019,394,395.75,389.75,391,-3.75,-0.95%,214135,1595736
10/17/2019,391.75,397.25,391.5,394.75,3,+0.77%,243892,1581722
10/16/2019,392,392.75,387.5,391.75,-1.5,-0.38%,229632,1575198
10/15/2019,397,398.5,392.5,393.25,-4.5,-1.13%,231686,1570763
10/14/2019,401.25,402.5,393.25,397.75,0,0.00%,263210,1587291
10/11/2019,380.75,398.75,380.5,397.75,17.5,+4.60%,460563,1612449
10/10/2019,392.75,395,378.25,380.25,-14,-3.55%,525716,1613852
10/09/2019,395.5,397.25,393,394.25,-1.5,-0.38%,247472,1604167
